,Unnamed: 0,_id,designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class,random_no
103,103,61126de7e8219513a7dc271e,P/2010 N1 (WISE),2010-07-05T00:00:00.000,,0.491,1.49,4.92,5.74,12.88,,Jupiter-family Comet,96
104,104,61126de7e8219513a7dc271f,(2010 NG1),2010-07-02T00:00:00.000,20.4,0.081,0.57,1.13,0.78,24.74,N,Aten,121
105,105,61126de7e8219513a7dc2720,(2010 MZ112),2010-06-23T00:00:00.000,19.8,0.221,0.49,3.06,2.36,30.18,N,Apollo,160
106,106,61126de7e8219513a7dc2721,(2010 MA113),2010-06-25T00:00:00.000,19.2,0.081,0.89,3.68,3.46,39.85,N,Apollo,89
107,107,61126de7e8219513a7dc2722,(2010 MR87),2010-06-22T00:00:00.000,19.5,0.15,1.06,2.41,2.28,34.98,N,Amor,180
108,108,61126de7e8219513a7dc2723,(2010 MU111),2010-06-23T00:00:00.000,18.7,0.059,0.92,3.86,3.7,41.53,N,Apollo,36
109,109,61126de7e8219513a7dc2724,(2010 MU112),2010-06-30T00:00:00.000,20.7,0.0002,0.81,2.71,2.33,48.02,Y,Apollo,101
110,110,61126de7e8219513a7dc2725,(2010 MY112),2010-06-23T00:00:00.000,21.0,0.156,0.8,1.33,1.1,38.49,N,Apollo,46
111,111,61126de7e8219513a7dc2726,(2010 LU108),2010-06-15T00:00:00.000,20.0,0.126,0.41,4.08,3.35,9.51,N,Apollo,33
112,112,61126de7e8219513a7dc2727,(2010 LU134),2010-06-14T00:00:00.000,19.5,0.146,0.86,2.93,2.61,27.39,N,Apollo,182
113,113,61126de7e8219513a7dc2728,(2010 LV108),2010-06-14T00:00:00.000,22.6,0.006,1.01,4.55,4.64,5.43,N,Apollo,3
114,114,61126de7e8219513a7dc2729,(2010 LT108),2010-06-13T00:00:00.000,19.7,0.138,0.85,1.85,1.57,31.87,N,Apollo,4
115,115,61126de7e8219513a7dc272a,(2010 LO97),2010-06-13T00:00:00.000,18.7,0.233,1.22,3.94,4.14,21.65,N,Amor,0
116,116,61126de7e8219513a7dc272b,(2010 LF86),2010-06-11T00:00:00.000,17.2,0.318,1.3,3.51,3.73,13.55,N,Amor,35
117,117,61126de7e8219513a7dc272c,(2010 LL68),2010-06-12T00:00:00.000,22.9,0.139,0.98,3.16,2.99,10.48,N,Apollo,190
118,118,61126de7e8219513a7dc272d,(2010 LR68),2010-06-08T00:00:00.000,18.3,0.216,1.19,4.88,5.29,4.58,N,Amor,151
119,119,61126de7e8219513a7dc272e,(2010 LK68),2010-06-12T00:00:00.000,22.5,0.025,0.61,1.73,1.27,22.08,N,Apollo,17
120,120,61126de7e8219513a7dc272f,(2010 LJ68),2010-06-11T00:00:00.000,22.7,0.031,0.97,2.54,2.32,17.01,N,Apollo,122
121,121,61126de7e8219513a7dc2730,(2010 LG64),2010-06-05T00:00:00.000,20.2,0.043,1.04,4.3,4.36,42.28,Y,Amor,82
122,122,61126de7e8219513a7dc2731,(2010 LJ61),2010-06-08T00:00:00.000,20.9,0.054,0.57,1.59,1.12,10.24,N,Apollo,140
123,123,61126de7e8219513a7dc2732,(2010 LF64),2010-06-03T00:00:00.000,21.6,0.192,1.13,1.59,1.59,18.54,N,Amor,179
124,124,61126de7e8219513a7dc2733,(2010 LM14),2010-06-02T00:00:00.000,21.5,0.312,0.69,1.53,1.17,25.92,N,Apollo,98
125,125,61126de7e8219513a7dc2734,(2010 LQ33),2010-06-04T00:00:00.000,19.3,0.228,1.23,3.31,3.42,24.63,N,Amor,80
126,126,61126de7e8219513a7dc2735,C/2010 L5 (WISE),2010-06-14T00:00:00.000,,0.114,0.79,15.64,23.56,147.05,,Halley-type Comet*,11
127,127,61126de7e8219513a7dc2736,(2010 LH14),2010-06-02T00:00:00.000,22.0,0.054,0.93,3.46,3.26,4.66,N,Apollo,61
128,128,61126de7e8219513a7dc2737,C/2010 L4 (WISE),2010-06-15T00:00:00.000,,2.53,2.83,157.36,716.78,102.82,,Comet,50
129,129,61126de7e8219513a7dc2738,245P/WISE,2010-06-02T00:00:00.000,,1.172,2.14,5.88,8.04,21.09,,Jupiter-family Comet,29
130,130,61126de7e8219513a7dc2739,(2010 KK127),2010-05-21T00:00:00.000,20.7,0.282,1.28,3.18,3.33,6.94,N,Amor,27
131,131,61126de7e8219513a7dc273a,(2010 KY127),2010-05-31T00:00:00.000,17.0,0.703,0.3,4.7,3.95,60.29,N,Apollo,108
132,132,61126de7e8219513a7dc273b,(2010 KZ117),2010-05-18T00:00:00.000,19.2,0.166,1.1,3.43,3.42,33.17,N,Amor,188
133,133,61126de7e8219513a7dc273c,(2010 KB61),2010-05-26T00:00:00.000,20.5,0.051,0.98,1.57,1.44,44.6,N,Apollo,56
134,134,61126de7e8219513a7dc273d,C/2010 KW7 (WISE),2010-05-16T00:00:00.000,,1.625,2.57,197.11,997.65,147.06,,Comet,22
135,135,61126de7e8219513a7dc273e,(2010 KY39),2010-05-18T00:00:00.000,20.1,0.303,1.05,2.43,2.3,25.51,N,Amor,147
136,136,61126de7e8219513a7dc273f,(2010 KH),2010-05-16T00:00:00.000,19.4,0.367,1.24,4.28,4.59,14.57,N,Amor,131
137,137,61126de7e8219513a7dc2740,P/2010 JC81 (WISE),2010-05-10T00:00:00.000,,0.828,1.81,14.46,23.19,38.69,,Halley-type Comet*,125
138,138,61126de7e8219513a7dc2741,(2010 JE87),2010-05-10T00:00:00.000,20.8,0.035,0.51,1.3,0.86,16.92,Y,Aten,31
