,Unnamed: 0,_id,designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class,random_no
180,180,61126de7e8219513a7dc276b,(2010 DG77),2010-02-19T00:00:00.000,21.4,0.009,0.96,3.22,3.02,14.81,Y,Apollo,1
181,181,61126de7e8219513a7dc276c,(2010 DM56),2010-02-19T00:00:00.000,19.9,0.006,0.92,1.69,1.49,25.61,Y,Apollo,150
182,182,61126de7e8219513a7dc276d,(2010 DJ56),2010-02-23T00:00:00.000,19.3,0.028,0.94,1.56,1.4,34.84,Y,Apollo,53
183,183,61126de7e8219513a7dc276e,(2010 DH56),2010-02-20T00:00:00.000,20.3,0.333,0.97,3.51,3.35,33.67,N,Apollo,45
184,184,61126de7e8219513a7dc276f,C/2010 DG56 (WISE),2010-02-18T00:00:00.000,,0.65,1.59,133.48,555.03,160.42,,Comet,148
185,185,61126de7e8219513a7dc2770,(2010 DM21),2010-02-16T00:00:00.000,20.2,0.26,0.98,4.74,4.85,21.15,N,Apollo,167
186,186,61126de7e8219513a7dc2771,C/2010 D4 (WISE),2010-02-28T00:00:00.000,,6.373,7.15,122.19,520.06,105.66,,Comet,12
187,187,61126de7e8219513a7dc2772,(2010 DK34),2010-02-20T00:00:00.000,20.4,0.333,0.65,4.83,4.54,27.34,N,Apollo,187
188,188,61126de7e8219513a7dc2773,C/2010 D3 (WISE),2010-02-26T00:00:00.000,,3.586,4.25,23255.11,1254179.62,76.39,,Comet,38
189,189,61126de7e8219513a7dc2774,P/2010 D1 (WISE),2010-02-17T00:00:00.000,,1.683,2.67,5.63,8.45,9.65,,Jupiter-family Comet,173
190,190,61126de7e8219513a7dc2775,(2010 CN141),2010-02-14T00:00:00.000,22.4,0.06,0.91,2.12,1.87,23.8,N,Apollo,41
191,191,61126de7e8219513a7dc2776,P/2010 D2 (WISE),2010-02-25T00:00:00.000,,2.945,3.66,9.72,17.3,57.18,,Jupiter-family Comet*,162
192,192,61126de7e8219513a7dc2777,(2010 CP140),2010-02-13T00:00:00.000,19.5,0.097,0.88,2.92,2.62,14.47,N,Apollo,2
193,193,61126de7e8219513a7dc2778,(2010 CC55),2010-02-11T00:00:00.000,22.5,0.079,0.82,2.27,1.92,6.78,N,Apollo,143
194,194,61126de7e8219513a7dc2779,(2010 CH18),2010-02-09T00:00:00.000,19.0,0.333,1.12,4.09,4.21,27.15,N,Amor,83
195,195,61126de7e8219513a7dc277a,(2010 CG18),2010-02-06T00:00:00.000,20.8,0.13,1.11,1.76,1.73,10.15,N,Amor,18
196,196,61126de7e8219513a7dc277b,(2010 CA55),2010-02-05T00:00:00.000,21.3,0.151,0.67,9.89,12.13,58.85,N,Apollo,201
197,197,61126de7e8219513a7dc277c,(2010 CO1),2010-02-01T00:00:00.000,21.5,0.023,0.79,1.23,1.02,24.03,Y,Apollo,126
198,198,61126de7e8219513a7dc277d,P/2010 B2 (WISE),2010-01-22T00:00:00.000,,0.63,1.62,4.6,5.49,8.93,,Encke-type Comet,77
199,199,61126de7e8219513a7dc277e,(2010 AU118),2010-01-13T00:00:00.000,17.7,0.147,1.13,2.12,2.06,43.73,N,Amor,70
200,200,61126de7e8219513a7dc277f,(2010 AG79),2010-01-13T00:00:00.000,19.9,0.244,1.22,4.59,4.95,32.96,N,Amor,164
201,201,61126de7e8219513a7dc2780,(2010 AB78),2010-01-12T00:00:00.000,18.3,0.206,1.02,3.49,3.38,33.26,N,Amor,104
